"key","name","iataCode","website","type","foundationTime","email","phoneNumber"
# base
"airline-00","Lorem ipsum dolor sit ame","EKX","http://lorem.com/ipsum","LUXURY","2011/04/16 00:00","acme@lorem-ipsum.org","34912757792"

# name variations (min, min+1, max-1, max, non‑Latin 1, non‑Latin 2)
"airline-01","L","EKA","http://lorem.com/ipsum","LUXURY","2011/04/16 00:00","acme@lorem-ipsum.org","34912757792"
"airline-02","Lo","EKB","http://lorem.com/ipsum","LUXURY","2011/04/16 00:00","acme@lorem-ipsum.org","34912757792"
"airline-03","Lorem ipsum dolor sit amet, consectetur adipiscin","EKC","http://lorem.com/ipsum","LUXURY","2011/04/16 00:00","acme@lorem-ipsum.org","34912757792"
"airline-04","Lorem ipsum dolor sit amet, consectetur adipiscing","EKD","http://lorem.com/ipsum","LUXURY","2011/04/16 00:00","acme@lorem-ipsum.org","34912757792"
"airline-05","लोरम इप्सम","EKE","http://lorem.com/ipsum","LUXURY","2011/04/16 00:00","acme@lorem-ipsum.org","34912757792"
"airline-06","ローレム・イプサム","EKF","http://lorem.com/ipsum","LUXURY","2011/04/16 00:00","acme@lorem-ipsum.org","34912757792"

# website variations (base, min, max-1, max, https, fragment, query, bare query)
"airline-07","Lorem ipsum dolor sit ame","EKG","http://lorem.com/ipsum","LUXURY","2011/04/16 00:00","acme@lorem-ipsum.org","34912757792"
"airline-08","Lorem ipsum dolor sit ame","EKH","http://a.b","LUXURY","2011/04/16 00:00","acme@lorem-ipsum.org","34912757792"
"airline-09","Lorem ipsum dolor sit ame","EKJ","http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incidunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/","LUXURY","2011/04/16 00:00","acme@lorem-ipsum.org","34912757792"
"airline-10","Lorem ipsum dolor sit ame","EKK","http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incidunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/дуис_aute_X","LUXURY","2011/04/16 00:00","acme@lorem-ipsum.org","34912757792"
"airline-11","Lorem ipsum dolor sit ame","EKL","https://www.lorem-ipsum.org","LUXURY","2011/04/16 00:00","acme@lorem-ipsum.org","34912757792"
"airline-12","Lorem ipsum dolor sit ame","EKM","http://www.lorem-ipsum.org/dolor/sit.html#dolor","LUXURY","2011/04/16 00:00","acme@lorem-ipsum.org","34912757792"
"airline-13","Lorem ipsum dolor sit ame","EKN","http://example.org?a=1&b=2","LUXURY","2011/04/16 00:00","acme@lorem-ipsum.org","34912757792"
"airline-14","Lorem ipsum dolor sit ame","EKO","http://example.org?","LUXURY","2011/04/16 00:00","acme@lorem-ipsum.org","34912757792"

# email variations (base, min, min+1, max-1, max)
"airline-15","Lorem ipsum dolor sit ame","EKP","http://lorem.com/ipsum","LUXURY","2011/04/16 00:00","acme@lorem-ipsum.org","34912757792"
"airline-16","Lorem ipsum dolor sit ame","EKQ","http://lorem.com/ipsum","LUXURY","2011/04/16 00:00","a@b.e","34912757792"
"airline-17","Lorem ipsum dolor sit ame","EKR","http://lorem.com/ipsum","LUXURY","2011/04/16 00:00","a@b.es","34912757792"
"airline-18","Lorem ipsum dolor sit ame","EKS","http://lorem.com/ipsum","LUXURY","2011/04/16 00:00","lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad/minim/veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo/consequat/duis/aute.irure.doloris.edu","34912757792"
"airline-19","Lorem ipsum dolor sit ame","EKT","http://lorem.com/ipsum","LUXURY","2011/04/16 00:00","lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org","34912757792"

# foundationTime variations (min, min+1, max-1, max)
"airline-20","Lorem ipsum dolor sit ame","EKU","http://lorem.com/ipsum","LUXURY","2000/01/01 00:00","acme@lorem-ipsum.org","34912757792"
"airline-21","Lorem ipsum dolor sit ame","EKV","http://lorem.com/ipsum","LUXURY","2000/01/01 00:01","acme@lorem-ipsum.org","34912757792"
"airline-22","Lorem ipsum dolor sit ame","EKW","http://lorem.com/ipsum","LUXURY","2022/07/29 23:59","acme@lorem-ipsum.org","34912757792"
"airline-23","Lorem ipsum dolor sit ame","EKX","http://lorem.com/ipsum","LUXURY","2022/07/30 00:00","acme@lorem-ipsum.org","34912757792"

# phoneNumber variations (min, min+1, max-1, max)
"airline-24","Lorem ipsum dolor sit ame","ZKA","http://lorem.com/ipsum","LUXURY","2011/04/16 00:00","acme@lorem-ipsum.org","123456"
"airline-25","Lorem ipsum dolor sit ame","ZKB","http://lorem.com/ipsum","LUXURY","2011/04/16 00:00","acme@lorem-ipsum.org","+123456"
"airline-26","Lorem ipsum dolor sit ame","ZKC","http://lorem.com/ipsum","LUXURY","2011/04/16 00:00","acme@lorem-ipsum.org","1234567"
"airline-27","Lorem ipsum dolor sit ame","ZKD","http://lorem.com/ipsum","LUXURY","2011/04/16 00:00","acme@lorem-ipsum.org","+1234567"
"airline-28","Lorem ipsum dolor sit ame","ZKE","http://lorem.com/ipsum","LUXURY","2011/04/16 00:00","acme@lorem-ipsum.org","12345678901234"
"airline-29","Lorem ipsum dolor sit ame","ZKF","http://lorem.com/ipsum","LUXURY","2011/04/16 00:00","acme@lorem-ipsum.org","+12345678901234"
"airline-30","Lorem ipsum dolor sit ame","ZKG","http://lorem.com/ipsum","LUXURY","2011/04/16 00:00","acme@lorem-ipsum.org","112233445566778"
"airline-31","Lorem ipsum dolor sit ame","ZKH","http://lorem.com/ipsum","LUXURY","2011/04/16 00:00","acme@lorem-ipsum.org","+112233445566778"
